Environment;Component;Time;Activity;Description;Status;Role;Employee;Hints
PRE;General;00:10;IntegrationTestsIT;Smoke integration tests IT for whole system - after release activities;;Integrator;Mike Smith;"Link to wiki with test description or tool for automated tests"
PRE;General;00:10;MaintenancePageOff;Switch off maintenance page;;Integrator;Mike Smith;"Link to template in wiki"
PRE;General;00:05;EndOfMaintenanceMailParties;Send mail end of maintenance to interested parties;;Coordinator;John Miller;
PRE;General;00:05;ApprovalTestMail;Request for approval test to business unit;;Coordinator;John Miller;Send mail to business unit and wait for approval
PROD;General;00:00;;;;
PROD;General;00:15;ChangeMgrApproval;Changes: Ensure approval by Change Mgr;;Coordinator;John Miller;
PROD;General;00:10;BackupDB;(optional) DB-Backup;;Coordinator;John Miller;Request to responsible DBAs
PROD;General;00:10;IntegrationTestsIT;Smoke integration tests IT for whole system - before release activities;;Integrator;Mike Smith;"Link 2 wiki with test description or tool for automated tests"
PROD;General;00:05;StartOfMaintenanceMailParties;Send mail starting maintenance to interested parties;;Coordinator;John Miller;
PROD;General;00:15;StartOfMaintenanceMailMon;Send mail to monitoring: Start of maintenance;;Coordinator;John Miller;"Link 2 template in wiki"
PROD;General;00:10;MaintenancePageOn;Switch on maintenance page;;Integrator;Mike Smith;"Link 2 template in wiki"
PROD;Program1;00:00;Version 1.0.6;;;
PROD;Program1;00:10;Configuration;Prepare configuration in Git;;Integrator;Mike Smith;"Link to Git-project"
PROD;Program1;00:15;StageToProdRepo;Stage deployment artifact to Prod-Repo;;Integrator;Mike Smith;"Link Howto in wiki or to tool (pipeline)"
PROD;Program1;00:05;CheckProdRepo;Checkpoint: Deployment artifact in Prod-Repo?;;Integrator;Mike Smith;Check Nexus
PROD;Program1;00:10;FlywayMigrate;Flyway-Migrate;;Integrator;Mike Smith;"Link Howto in wiki or to tool"
PROD;Program1;00:15;DeployArtifact;Deploy Artifact;;Integrator;Mike Smith;"Link Howto in wiki or to tool"
PROD;Program1;00:15;ModulTest;Modul test;;Integrator;Mike Smith;Start Component and log in successfully
PROD;Program1;00:05;CheckLogs;Checkpoint: Check AppServer-Logs;;Integrator;Mike Smith;
PROD;Program3;00:00;Version 1.2.7;;;
PROD;Program3;00:15;Configuration;Prepare configuration in Git;;Integrator;Mike Smith;"Link to Git-project"
PROD;Program3;00:15;StageToProdRepo;Stage deployment artifact Prod-Repo;;Integrator;Mike Smith;"Link Howto in wiki or to tool (pipeline)"
PROD;Program3;00:10;FlywayMigrateDB;Migrate Database by Flyway;;Integrator;Mike Smith;"Link Howto in wiki or to tool"
PROD;Program3;00:15;DeployArtifact;Deploy-Artifact;;Integrator;Mike Smith;"Link Howto in wiki or to tool"
PROD;Program3;00:15;CheckVersion;Manually Checkpoint: Correct Version installed;;Integrator;Mike Smith;Check logs
PROD;Program3;00:15;ModulTest;Modul test;;Integrator;Mike Smith;Start Component and log in successfully
PROD;AdapterC;00:00;Version 1.2.0;;;
PROD;AdapterC;00:10;StageToProdRepo;Stage deployment artifact to Prod-Repo;;Integrator;Mike Smith;"Link Howto in wiki or to tool (pipeline)"
PROD;AdapterC;00:05;CheckProdRepo;Checkpoint: Deployment artifact in Prod-Repo?;;Integrator;Mike Smith;Check Nexus
PROD;AdapterC;00:15;DeployArtifact;Deploy Artifact;;Integrator;Mike Smith;"Link Howto in wiki or to tool"
PROD;AdapterC;00:10;CheckLogs;Checkpoint: Check Mule Server-Logs;;Integrator;Mike Smith;
PROD;General;00:00;;;;
PROD;General;00:10;IntegrationTestsIT;Smoke integration tests IT for whole system - after release activities;;Integrator;Mike Smith;"Link to wiki with test description or tool for automated tests"
PROD;General;00:10;MaintenancePageOff;Switch off maintenance page;;Integrator;Mike Smith;"Link to template in wiki"
PROD;General;00:05;EndOfMaintenanceMailParties;Send mail end of maintenance to interested parties;;Coordinator;John Miller;
PROD;General;00:15;EndOfMaintenanceMailMon;Send mail to monitoring: end of maintenance;;Coordinator;John Miller;"Link to template in wiki"
PROD;General;00:15;CompleteChanges;Complete Changes in Change Mgmt-Tool;;Coordinator;John Miller;


